lon_wgs84,lat_wgs84,case,name,office_count,residential_count,mall_count,metro_station_count,dist_to_nearest_luckin,dist_to_nearest_starbucks,dist_to_nearest_metro_exit
118.09266472313969,24.513524565114476,1,星巴克(厦门湖里大道店),46,20,0,0,167.91739765727846,691.7319343838343,908.1059256616938
118.08550082548122,24.470909468374764,1,星巴克,18,68,3,0,13.116798143979723,902.1497664596538,1218.6655167750303
118.09085672958365,24.489396272566427,1,星巴克(厦门思明欢乐颂分店),17,24,1,0,38.97636936108827,1456.975191528757,693.2782135915966
118.07086603947465,24.493052838935302,1,星巴克(厦门海上世界店),7,4,2,0,98.58595460506601,939.5917903159168,523.5801075870104
118.08015152629129,24.477421030947887,1,星巴克臻选(厦门筼筜路店),15,26,1,1,317.66094199358383,902.1497664596538,350.1539858699611
118.1065862802662,24.474339576420004,1,星巴克(厦门万象城店),23,64,8,2,166.16565504781929,357.129645799985,204.6730123254964
118.0745637585401,24.46977070636296,1,星巴克臻选(厦门帝景苑分店),12,31,0,0,420.3866831527028,0.0,1226.2938419002448
118.10840058572336,24.470630035391885,1,星巴克(厦门禹悦汇店),27,31,7,1,66.09373408016806,95.95626641729378,76.36361825091316
118.15731915388552,24.51939139050396,1,星巴克(厦门湾悦城店),6,22,1,0,123.50468100538497,554.191600340456,851.1434948335872
118.0715434037689,24.454510699494033,1,星巴克臻选(厦门鹭江道店),11,20,4,0,173.75362585061586,174.47685427154207,586.859558023526
118.12015280502531,24.501992961693137,1,星巴克(厦门SM新生活广场店),10,29,12,1,7.969814320687794,42.08888212827479,74.01317679755415
118.12234905754822,24.49373817970639,1,星巴克(厦门汇腾天虹广场分店),30,39,3,1,71.06191973288965,718.6171953769825,81.28923276072405
118.11323034406924,24.47543235910189,1,星巴克(厦门双涵分店),39,61,5,1,187.73481237107444,684.1643800700434,327.6046792528309
118.0781145550494,24.455261431272096,1,星巴克臻选(厦门中华城分店),15,55,14,1,128.78257735324507,200.47181361800762,155.61081659258238
118.08380104827312,24.438614099331797,1,星巴克(演武路分店),6,28,4,1,38.321635776414986,591.4404665544693,1722.0489128842498
118.11616788084372,24.484314360750258,1,星巴克臻选(厦门磐基中心店),20,45,6,1,134.48592457264857,732.7190053110522,81.32411929635599
118.0745637585401,24.46977070636296,1,星巴克(帝景苑店),12,31,0,0,420.3866831527028,0.0,1226.2938419002448
118.07096764268704,24.455995541550212,1,星巴克(厦门中山路分店),11,25,4,0,64.68582533175262,174.47685427154207,706.5542080982083
118.1556424463309,24.513255520298923,1,星巴克(天虹购物中心五缘湾店),8,11,3,0,129.54144439282487,172.0389394941018,1367.7174842146756
118.07432440799133,24.462219582666823,1,星巴克(源通中心店),20,67,3,0,89.9079452051639,768.6395143650867,1002.9266875718087
118.10515959920305,24.490734429184517,1,星巴克(体育路分店),9,13,1,1,212.06696347238253,503.8877266841817,335.48773378855674
118.18075396511703,24.485607435824747,1,星巴克(厦门软件园分店),9,12,0,1,100.60377126402604,909.8921871011019,229.31301216708792
